,product_name,ratings,sale_price,actual_price
129,"Lenovo ThinkBook 16 Intel 13th Gen Core i5 16"" (40.64cm) WUXGA 300 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Win 11 Home/Office 2021/Backlit Keyboard/Arctic Grey/1.7 Kg)",3.7,"59,990","74,990"
130,Acer Nitro V Gaming Laptop AMD Ryzen 7-7735HS with RTX 4050 6 GB Graphics (16 GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6/144Hz) ANV15-41,4.3,"74,990","1,01,999"
131,ASUS VivoBook 15 (2022),4.1,"32,890","56,990"
132,"(Refurbished) Lenovo ThinkPad X260 6th Gen Intel Core i7 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/12.5"" (31.8 cm) HD/Windows 11 Pro/MS Office/WiFi/BT/Webcam/Intel Graphics)  ",4.0,"16,499","89,999"
133,ASUS Vivobook 15,,"47,990","69,990"
134,HP Laptop 15s,4.1,"36,990","48,419"
135,Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41,5.0,"33,990","58,999"
136,ASUS Vivobook Go 15 (2023),3.8,"38,931","70,990"
137,GIGABYTE G5 MF-F2IN313SH 12th Gen Intel® Core i5 12450H/ 15.6 inch FHD 144Hz(45%) /RTX 4050 6G/DDR4 3200 8GB*2/GEN4 512G/AX211/WIN11 Home Gaming Laptop  ,2.7,"65,990","1,36,100"
138,"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.46Kg)",3.6,"60,522","78,590"
139,ASUS Vivobook Go 15 (2023),3.8,"43,990","70,990"
140,ASUS Vivobook 16,3.3,"52,970","89,990"
141,Dell 15 Thin & Light Laptop,3.7,"35,990","48,892"
142,HP 15 Core i5 13th Gen (8GB RAM/512GB SSD/FHD/Windows 11/MS Office 21/Backlit Keyboard/15.6” (39.6cm)/Silver/1.59kg) hr0000TU Laptop  ,3.6,"53,490","75,059"
143,HONOR MagicBook X14 Pro 2024,4.1,"47,990","80,999"
144,ASUS Vivobook S 15 OLED,3.9,"80,990","1,16,990"
145,Dell 15 Thin&Light Laptop,3.7,"34,990","48,130"
146,MSI Thin 15,3.9,"45,990","70,990"
